ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad,UBIGEO,DISTRITO,POBLACION_TOTAL,FUENTE_POBLACION,PORC_NBI,FUENTE_NBI
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Violencia contra la mujer e integrantes,44,150107,Chaclacayo,45670,"INEI, Censos Nacionales 2025",10.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Estafa,11,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Extorsión,1,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Hurto,209,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Otros,216,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Robo,152,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Secuestro,1,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Violencia contra la mujer e integrantes,230,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Estafa,1,150109,Cieneguilla,50393,"INEI, Censos Nacionales 2025",24.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Extorsión,3,150109,Cieneguilla,50393,"INEI, Censos Nacionales 2025",24.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Hurto,11,150109,Cieneguilla,50393,"INEI, Censos Nacionales 2025",24.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Otros,23,150109,Cieneguilla,50393,"INEI, Censos Nacionales 2025",24.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Robo,5,150109,Cieneguilla,50393,"INEI, Censos Nacionales 2025",24.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Violencia contra la mujer e integrantes,30,150109,Cieneguilla,50393,"INEI, Censos Nacionales 2025",24.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Estafa,5,150110,Comas,578818,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Extorsión,6,150110,Comas,578818,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Hurto,244,150110,Comas,578818,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Otros,414,150110,Comas,578818,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Robo,175,150110,Comas,578818,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Secuestro,2,150110,Comas,578818,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Violencia contra la mujer e integrantes,355,150110,Comas,578818,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Estafa,5,150111,El Agustino,231424,"INEI, Censos Nacionales 2025",14.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Hurto,193,150111,El Agustino,231424,"INEI, Censos Nacionales 2025",14.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Otros,220,150111,El Agustino,231424,"INEI, Censos Nacionales 2025",14.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Robo,115,150111,El Agustino,231424,"INEI, Censos Nacionales 2025",14.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Secuestro,1,150111,El Agustino,231424,"INEI, Censos Nacionales 2025",14.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Violencia contra la mujer e integrantes,250,150111,El Agustino,231424,"INEI, Censos Nacionales 2025",14.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Estafa,5,150112,Independencia,225078,"INEI, Censos Nacionales 2025",18.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Extorsión,1,150112,Independencia,225078,"INEI, Censos Nacionales 2025",18.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Hurto,167,150112,Independencia,225078,"INEI, Censos Nacionales 2025",18.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Otros,243,150112,Independencia,225078,"INEI, Censos Nacionales 2025",18.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Robo,109,150112,Independencia,225078,"INEI, Censos Nacionales 2025",18.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Secuestro,3,150112,Independencia,225078,"INEI, Censos Nacionales 2025",18.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Violencia contra la mujer e integrantes,232,150112,Independencia,225078,"INEI, Censos Nacionales 2025",18.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Estafa,11,150113,Jesús María,105776,"INEI, Censos Nacionales 2025",3.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Hurto,258,150113,Jesús María,105776,"INEI, Censos Nacionales 2025",3.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Otros,48,150113,Jesús María,105776,"INEI, Censos Nacionales 2025",3.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Robo,35,150113,Jesús María,105776,"INEI, Censos Nacionales 2025",3.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Violencia contra la mujer e integrantes,39,150113,Jesús María,105776,"INEI, Censos Nacionales 2025",3.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Estafa,10,150114,La Molina,151360,"INEI, Censos Nacionales 2025",2.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Extorsión,1,150114,La Molina,151360,"INEI, Censos Nacionales 2025",2.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Hurto,80,150114,La Molina,151360,"INEI, Censos Nacionales 2025",2.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Otros,41,150114,La Molina,151360,"INEI, Censos Nacionales 2025",2.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Robo,16,150114,La Molina,151360,"INEI, Censos Nacionales 2025",2.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Violencia contra la mujer e integrantes,113,150114,La Molina,151360,"INEI, Censos Nacionales 2025",2.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Estafa,14,150115,La Victoria,192325,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Extorsión,1,150115,La Victoria,192325,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Hurto,233,150115,La Victoria,192325,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Otros,367,150115,La Victoria,192325,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Robo,164,150115,La Victoria,192325,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Violencia contra la mujer e integrantes,102,150115,La Victoria,192325,"INEI, Censos Nacionales 2025",15.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Estafa,31,150101,Lima,314869,"INEI, Censos Nacionales 2025",10.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Extorsión,2,150101,Lima,314869,"INEI, Censos Nacionales 2025",10.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Hurto,557,150101,Lima,314869,"INEI, Censos Nacionales 2025",10.6,"INEI, Censos Nacionales 2017"
