UBIGEO,ANIO,DISTRITO,POBLACION_TOTAL,PORC_NBI,TOTAL_DELITOS,TASA_DELITOS_10K,Estafa,Extorsión,Hurto,Otros,Robo,Secuestro,Violencia contra la mujer e integrantes
150109,2020,Cieneguilla,50393,24.7,618,122.64,12,0,123,193,20,0,270
150109,2021,Cieneguilla,50393,24.7,710,140.89,39,8,98,238,18,3,306
150109,2022,Cieneguilla,50393,24.7,841,166.89,52,25,105,264,20,1,374
150109,2023,Cieneguilla,50393,24.7,1035,205.39,80,37,259,294,52,2,311
150109,2024,Cieneguilla,50393,24.7,1069,212.13,90,42,230,378,73,1,255
150109,2025,Cieneguilla,50393,24.7,986,195.66,94,54,150,404,22,2,260
150109,2026,Cieneguilla,50393,24.7,651,129.18,40,21,95,276,30,2,187
150110,2018,Comas,578818,15.3,15531,268.32,131,29,2958,4686,3194,60,4473
150110,2019,Comas,578818,15.3,18454,318.82,172,55,2819,4650,4323,38,6397
150110,2020,Comas,578818,15.3,13421,231.87,284,47,1852,3537,2018,35,5648
150110,2021,Comas,578818,15.3,14770,255.18,411,97,2137,4240,2327,39,5519
150110,2022,Comas,578818,15.3,16754,289.45,458,496,2535,5637,2183,43,5402
150110,2023,Comas,578818,15.3,20461,353.5,627,608,3549,5291,3805,61,6520
150110,2024,Comas,578818,15.3,19901,343.82,701,615,3392,5914,2808,48,6423
150110,2025,Comas,578818,15.3,18307,316.28,754,727,2733,6092,1606,26,6369
150110,2026,Comas,578818,15.3,9690,167.41,374,202,1272,3346,676,20,3800
150111,2018,El Agustino,231424,14.6,9083,392.48,52,16,2428,2500,1475,8,2604
150111,2019,El Agustino,231424,14.6,8744,377.83,59,10,2168,2566,1238,7,2696
150111,2020,El Agustino,231424,14.6,6727,290.68,75,7,1451,1950,992,12,2240
150111,2021,El Agustino,231424,14.6,6980,301.61,88,23,1593,1974,1041,5,2256
150111,2022,El Agustino,231424,14.6,6727,290.68,119,134,1480,2026,1123,4,1841
150111,2023,El Agustino,231424,14.6,6552,283.12,98,117,1518,1460,1540,5,1814
150111,2024,El Agustino,231424,14.6,6394,276.29,151,96,1667,1293,1339,6,1842
150111,2025,El Agustino,231424,14.6,5597,241.85,195,112,1324,1672,649,6,1639
150111,2026,El Agustino,231424,14.6,4350,187.97,125,83,964,1394,379,11,1394
150112,2018,Independencia,225078,18.7,10372,460.82,111,19,2908,3031,1713,15,2575
150112,2019,Independencia,225078,18.7,10653,473.3,188,23,2397,3404,1793,19,2829
150112,2020,Independencia,225078,18.7,7006,311.27,181,33,1133,2150,827,15,2667
150112,2021,Independencia,225078,18.7,9027,401.06,255,53,1671,3030,1274,19,2725
150112,2022,Independencia,225078,18.7,11295,501.83,303,265,2381,3997,1999,13,2337
150112,2023,Independencia,225078,18.7,13986,621.38,465,336,3448,4288,2777,17,2655
150112,2024,Independencia,225078,18.7,12658,562.38,484,208,2968,4240,1802,18,2938
150112,2025,Independencia,225078,18.7,10834,481.34,413,206,1988,4436,1202,10,2579
