UBIGEO,ANIO,DISTRITO,POBLACION_TOTAL,PORC_NBI,TOTAL_DELITOS,TASA_DELITOS_10K,Estafa,Extorsión,Hurto,Otros,Robo,Secuestro,Violencia contra la mujer e integrantes
150136,2020,San Miguel,189301,4.5,3027,159.9,148,14,425,1260,81,3,1096
150136,2021,San Miguel,189301,4.5,3539,186.95,221,16,602,1429,171,2,1098
150136,2022,San Miguel,189301,4.5,3981,210.3,249,85,700,1577,270,4,1096
150136,2023,San Miguel,189301,4.5,4791,253.09,296,90,1163,1337,628,1,1276
150136,2024,San Miguel,189301,4.5,5227,276.12,414,71,1213,1825,496,1,1207
150136,2025,San Miguel,189301,4.5,3885,205.23,379,67,659,1509,115,5,1151
150136,2026,San Miguel,189301,4.5,2191,115.74,172,20,453,833,88,1,624
150137,2018,Santa Anita,224675,14.3,7660,340.94,80,19,2058,2331,924,10,2238
150137,2019,Santa Anita,224675,14.3,7907,351.93,96,6,1950,2098,1007,5,2745
150137,2020,Santa Anita,224675,14.3,3621,161.17,71,7,694,931,283,2,1633
150137,2021,Santa Anita,224675,14.3,4758,211.77,135,18,1041,1387,421,4,1752
150137,2022,Santa Anita,224675,14.3,5116,227.71,230,112,1117,1667,546,9,1435
150137,2023,Santa Anita,224675,14.3,6624,294.83,223,116,1583,1490,1535,12,1665
150137,2024,Santa Anita,224675,14.3,6708,298.56,268,134,1836,1822,1171,9,1468
150137,2025,Santa Anita,224675,14.3,9622,428.26,398,177,3781,2656,1022,8,1580
150137,2026,Santa Anita,224675,14.3,6723,299.23,261,97,3174,1667,675,4,845
150138,2018,Santa María del Mar,994,12.1,32,321.93,0,0,6,9,2,0,15
150138,2019,Santa María del Mar,994,12.1,37,372.23,0,0,10,10,6,0,11
150138,2020,Santa María del Mar,994,12.1,52,523.14,5,0,6,22,7,0,12
150138,2021,Santa María del Mar,994,12.1,35,352.11,4,0,11,9,2,0,9
150138,2022,Santa María del Mar,994,12.1,35,352.11,6,0,4,13,2,0,10
150138,2023,Santa María del Mar,994,12.1,103,1036.22,2,3,22,39,6,0,31
150138,2024,Santa María del Mar,994,12.1,69,694.16,3,4,7,37,2,0,16
150138,2025,Santa María del Mar,994,12.1,45,452.72,1,2,3,27,1,0,11
150138,2026,Santa María del Mar,994,12.1,15,150.91,2,1,5,3,0,0,4
150139,2018,Santa Rosa,38377,26.5,409,106.57,5,1,71,118,25,0,189
150139,2019,Santa Rosa,38377,26.5,595,155.04,2,1,123,204,40,0,225
150139,2020,Santa Rosa,38377,26.5,425,110.74,6,1,66,132,20,4,196
150139,2021,Santa Rosa,38377,26.5,582,151.65,10,0,50,264,26,0,232
150139,2022,Santa Rosa,38377,26.5,584,152.17,11,26,94,177,29,5,242
150139,2023,Santa Rosa,38377,26.5,610,158.95,15,12,106,181,52,0,244
150139,2024,Santa Rosa,38377,26.5,709,184.75,18,18,157,188,59,1,268
150139,2025,Santa Rosa,38377,26.5,593,154.52,17,25,147,176,38,2,188
150139,2026,Santa Rosa,38377,26.5,431,112.31,10,14,97,142,21,2,145
150140,2018,Santiago de Surco,401980,3.6,13501,335.86,429,26,4069,3643,2714,20,2600
150140,2019,Santiago de Surco,401980,3.6,13310,331.11,372,38,3706,4240,2463,20,2471
150140,2020,Santiago de Surco,401980,3.6,9498,236.28,377,28,2083,3156,893,12,2949
150140,2021,Santiago de Surco,401980,3.6,10100,251.26,620,53,2759,3022,1177,26,2443
150140,2022,Santiago de Surco,401980,3.6,11238,279.57,613,221,3277,3258,1230,39,2600
150140,2023,Santiago de Surco,401980,3.6,15222,378.68,799,329,5099,3801,2464,33,2697
150140,2024,Santiago de Surco,401980,3.6,15413,383.43,748,202,5442,4474,1884,23,2640
150140,2025,Santiago de Surco,401980,3.6,13238,329.32,825,222,4467,4117,806,18,2783
150140,2026,Santiago de Surco,401980,3.6,7416,184.49,437,124,2539,2276,435,14,1591
150141,2018,Surquillo,119236,6.4,3368,282.47,52,3,743,1026,347,1,1196
150141,2019,Surquillo,119236,6.4,2647,222.0,30,3,392,1056,114,3,1049
150141,2020,Surquillo,119236,6.4,2534,212.52,64,5,727,753,236,3,746
150141,2021,Surquillo,119236,6.4,3790,317.86,167,15,1450,1098,327,3,730
150141,2022,Surquillo,119236,6.4,3173,266.11,156,47,934,1100,244,1,691
150141,2023,Surquillo,119236,6.4,4362,365.83,153,72,1629,1310,513,5,680
150141,2024,Surquillo,119236,6.4,4211,353.17,195,62,1410,1592,347,1,604
150141,2025,Surquillo,119236,6.4,3566,299.07,203,54,1307,1257,143,3,599
150141,2026,Surquillo,119236,6.4,2231,187.11,104,20,860,676,178,1,392
150142,2018,Villa El Salvador,451546,15.5,9985,221.13,69,18,1669,2356,2414,11,3448
150142,2019,Villa El Salvador,451546,15.5,11166,247.28,104,18,1862,2622,1930,14,4616
150142,2020,Villa El Salvador,451546,15.5,7949,176.04,122,27,1074,1988,602,7,4129
150142,2021,Villa El Salvador,451546,15.5,7426,164.46,194,43,1037,2110,737,9,3296
150142,2022,Villa El Salvador,451546,15.5,10548,233.6,345,386,1334,3248,1895,21,3319
150142,2023,Villa El Salvador,451546,15.5,15296,338.75,510,512,2418,4081,4069,17,3689
150142,2024,Villa El Salvador,451546,15.5,13473,298.37,512,383,2236,4499,2164,22,3657
150142,2025,Villa El Salvador,451546,15.5,12471,276.18,601,578,2238,4507,1423,18,3106
150142,2026,Villa El Salvador,451546,15.5,6891,152.61,316,223,1125,2549,800,9,1869
150143,2018,Villa María del Triunfo,487863,21.9,13379,274.24,102,27,2703,4182,2678,14,3673
150143,2019,Villa María del Triunfo,487863,21.9,15224,312.05,152,54,2828,4514,3056,19,4601
150143,2020,Villa María del Triunfo,487863,21.9,9775,200.36,144,30,1656,2839,1158,9,3939
150143,2021,Villa María del Triunfo,487863,21.9,11016,225.8,213,51,1897,3369,1644,19,3823
150143,2022,Villa María del Triunfo,487863,21.9,13053,267.55,335,315,2161,3780,2152,20,4290
150143,2023,Villa María del Triunfo,487863,21.9,17277,354.14,486,375,3141,4929,3594,20,4732
150143,2024,Villa María del Triunfo,487863,21.9,15971,327.37,522,292,2639,5008,2915,17,4578
150143,2025,Villa María del Triunfo,487863,21.9,13719,281.21,602,336,2267,4509,1897,17,4091
150143,2026,Villa María del Triunfo,487863,21.9,7824,160.37,306,172,1263,2632,945,16,2490
